Start,End,Open,High,Low,Close,Volume,Market Cap
2024-05-26,2024-05-27,69253.27,69464.03,68313.96,68552.6,88625104776.8223,1359101408886.8223
2024-05-25,2024-05-26,68563.99,69544.36,68529.54,69264.99,98300038041.16725,1359031064074.2751
2024-05-24,2024-05-25,67827.84,69184.6,66714.03,68534.95,118683656764.88503,1338587944924.4146
2024-05-23,2024-05-24,69297.09,70036.03,66671.21,67923.97,111337390563.64111,1355117160177.4006
2024-05-22,2024-05-23,70144.69,70599.97,69048.6,69224.99,116100040101.85017,1375969502044.885
2024-05-21,2024-05-22,71369.73,71739.14,69266.38,70104.4,140367348766.5993,1391372264672.345
2024-05-20,2024-05-21,66222.45,71456.55,66139.62,71418.17,97690643207.75958,1332128360713.676
2024-05-19,2024-05-20,66972.63,67598.31,66005.33,66347.05,84416848119.16028,1317072243305.6934
2024-05-18,2024-05-19,66939.82,67376.41,66640.01,66914.58,93775704473.81184,1318742540272.1672
2024-05-17,2024-05-18,65298.85,67399.94,65156.23,67004.04,102654831474.21951,1305186025780.892
2024-05-16,2024-05-17,66392.06,66598.22,64665.08,65249.97,115706690819.32404,1295884353240.899
2024-05-15,2024-05-16,61623.04,66390,61404.32,66247.62,100350924307.64809,1252031695563.481
2024-05-14,2024-05-15,62894.83,63053.02,61157.62,61602.22,96842998394.32753,1220161645334.2473
2024-05-13,2024-05-14,61536.73,63332.96,60786.91,62917.18,90734781781.72823,1227838802089.7039
2024-05-12,2024-05-13,60869.99,61763.99,60689.41,61549.96,76144346129.26132,1204705412193.0454
2024-05-11,2024-05-12,60855.33,61391.96,60560.03,60784.24,93352867290.68292,1199924672982.92
2024-05-10,2024-05-11,62920.05,63463.95,60318.78,60887.95,99762590013.79791,1223121748878.2056
2024-05-09,2024-05-10,61250.01,63349.87,60746.02,63110.01,96341217241.96167,1216578566312.5854
2024-05-08,2024-05-09,62376.4,62947.97,60957.21,61220.05,96197759748.33101,1226434341448.9163
2024-05-07,2024-05-08,63229.18,64322.23,62292.05,62380.43,102306726087.32753,1250327049945.5122
2024-05-06,2024-05-07,64088.04,65424.77,62970.14,63197.19,95271216372.24739,1258594253322.2266
2024-05-05,2024-05-06,63986.77,64479.4,63010.78,64040.05,89492687290.60278,1255440548191.5505
2024-05-04,2024-05-05,62846.01,64469.81,62642.67,63880.04,105789371881.08362,1249084852609.129
2024-05-03,2024-05-04,59065.6,63176.02,58837.01,62799.97,104770327110.91289,1193959256700.655
2024-05-02,2024-05-03,58601.49,59545.21,57003.3,59134.5,131337771060.28572,1149458939401.885
2024-05-01,2024-05-02,60697.08,60762.08,56721.02,58266.04,158987531622.87805,1148605019975.9583
2024-04-30,2024-05-01,63760.26,64654.02,59265.11,60761.95,143257461670.43903,1217179842089.0312
2024-04-29,2024-04-30,63144.46,64070.04,61835.95,63817.97,128891628760.56795,1235747511310.265
2024-04-28,2024-04-29,63519.98,64300.03,62875.28,63059.25,123944431129.05923,1254089570982.54
2024-04-27,2024-04-28,63785.31,63891.08,62593.31,63483.13,131487879046.18466,1242285861273.9373